ANO;CRIANÇAS;VAR_CRIANÇAS;BOLSISTAS;VAR_BOLSISTAS;UNIVERSITARIOS;PROFESSORES
2016;70;0%;26;0;0;1
2017;300;329%;35;35%;0;6
2018;550;83%;80;129%;1;7
2019;812;48%;106;33%;2;9
2020;841;4%;112;6%;26;9
2021;824;-2%;133;19%;51;12
2022;970;18%;112;-16%;71;13
2023;1100;13%;100;-11%;94;14
